epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,928.753,1.99384,3.83359,1.97035,0.15842,0.18541,0.13142,0.05188,2.20164,4.09327,2.17604,0.000369658,0.000369658,0.000369658
2,1446.53,2.00287,3.38334,1.97131,0.40048,0.17695,0.15088,0.06025,2.1933,3.68687,2.22752,0.000725339,0.000725339,0.000725339
3,2016.18,1.99977,3.15251,2.01245,0.34813,0.20896,0.16498,0.0657,2.16013,3.4209,2.25614,0.00106636,0.00106636,0.00106636
4,3305.65,1.98308,3.02953,2.00241,0.26363,0.22857,0.19528,0.07881,2.13293,3.18581,2.26671,0.00104501,0.00104501,0.00104501
5,4518.1,1.95335,2.89847,1.95808,0.2751,0.26649,0.20853,0.08613,2.04655,3.04747,2.18551,0.00102301,0.00102301,0.00102301
6,5018.96,1.93073,2.84497,1.9711,0.33726,0.29416,0.24547,0.10286,1.94976,3.14777,2.08041,0.00100101,0.00100101,0.00100101
7,5527.53,1.90953,2.71429,1.90502,0.4569,0.24074,0.25845,0.10617,2.00591,2.835,2.08601,0.000979013,0.000979013,0.000979013
8,6026.55,1.87417,2.68588,1.90671,0.39384,0.30839,0.29569,0.12457,1.96637,2.67119,2.07047,0.000957015,0.000957015,0.000957015
9,6701.34,1.83076,2.61512,1.86172,0.36813,0.34727,0.31196,0.13086,1.98229,2.52331,2.06427,0.000935018,0.000935018,0.000935018
10,7330.63,1.83096,2.59514,1.88447,0.31503,0.33114,0.29428,0.12926,1.91802,2.6311,2.07546,0.00091302,0.00091302,0.00091302
11,7830.53,1.79424,2.53938,1.84804,0.41735,0.3477,0.32316,0.14389,1.95137,2.54059,2.0685,0.000891022,0.000891022,0.000891022
12,8342.38,1.79913,2.44754,1.8346,0.42217,0.34214,0.32217,0.14211,1.94266,2.46955,2.02079,0.000869024,0.000869024,0.000869024
